Temps(s); Volant avec vibr ;; Volant sans vibr 
0; Volt ;; Volt 
0,001;0,03;;0
0,002;0;;0,03
0,003;0,03;;0,03
0,004;0,03;;0,03
0,005;0,03;;0,03
0,006;0,03;;0,03
0,007;0,06;;0,03
0,008;0,03;;0,03
0,009;0,06;;0,03
0,01;0,07;;0,03
0,011;0,03;;0,03
0,012;0,1;;0,07
0,013;0,07;;0,07
0,014;0,07;;0,07
0,015;0,07;;0,07
0,016;0,07;;0,08
0,017;0,11;;0,07
0,018;0,11;;0,11
0,019;0,11;;0,11
0,02;0,11;;0,11
0,021;0,11;;0,11
0,022;0,12;;0,11
0,023;0,15;;0,11
0,024;0,15;;0,11
0,025;0,15;;0,13
0,026;0,15;;0,15
0,027;0,19;;0,15
0,028;0,19;;0,15
0,029;0,21;;0,18
0,03;0,19;;0,15
0,031;0,19;;0,19
0,032;0,23;;0,19
0,033;0,23;;0,19
0,034;0,23;;0,21
0,035;0,23;;0,21
0,036;0,23;;0,23
0,037;0,27;;0,23
0,038;0,27;;0,23
0,039;0,29;;0,23
0,04;0,31;;0,27
0,041;0,27;;0,27
0,042;0,31;;0,27
0,043;0,31;;0,27
0,044;0,35;;0,3
0,045;0,35;;0,31
0,046;0,35;;0,31
0,047;0,39;;0,31
0,048;0,37;;0,32
0,049;0,37;;0,35
0,05;0,39;;0,35
0,051;0,39;;0,35
0,052;0,4;;0,39
0,053;0,43;;0,39
0,054;0,46;;0,39
0,055;0,43;;0,39
0,056;0,47;;0,43
0,057;0,47;;0,43
0,058;0,49;;0,47
0,059;0,51;;0,47
0,06;0,51;;0,47
0,061;0,55;;0,47
0,062;0,55;;0,51
0,063;0,55;;0,51
0,064;0,59;;0,51
0,065;0,59;;0,55
0,066;0,63;;0,55
0,067;0,63;;0,55
0,068;0,63;;0,59
0,069;0,63;;0,59
0,07;0,67;;0,59
0,071;0,67;;0,63
0,072;0,68;;0,63
0,073;0,71;;0,67
0,074;0,71;;0,67
0,075;0,75;;0,67
0,076;0,75;;0,71
0,077;0,79;;0,71
0,078;0,8;;0,71
0,079;0,82;;0,75
0,08;0,84;;0,75
0,081;0,84;;0,79
0,082;0,85;;0,8
0,083;0,88;;0,84
0,084;0,88;;0,84
0,085;0,92;;0,84
0,086;0,92;;0,88
0,087;0,93;;0,88
0,088;0,96;;0,88
0,089;0,98;;0,92
0,09;1;;0,94
0,091;1;;0,95
0,092;1,04;;0,96
0,093;1,04;;0,99
0,094;1,08;;1
0,095;1,08;;1,04
0,096;1,12;;1,01
0,097;1,12;;1,04
0,098;1,16;;1,08
0,099;1,16;;1,09
0,1;1,2;;1,09
0,101;1,2;;1,12
0,102;1,21;;1,12
0,103;1,24;;1,16
0,104;1,25;;1,17
0,105;1,28;;1,2
0,106;1,28;;1,21
0,107;1,32;;1,24
0,108;1,34;;1,25
0,109;1,36;;1,28
0,11;1,36;;1,32
0,111;1,4;;1,32
0,112;1,4;;1,36
0,113;1,44;;1,36
0,114;1,44;;1,36
0,115;1,48;;1,4
0,116;1,48;;1,4
0,117;1,49;;1,44
0,118;1,52;;1,44
0,119;1,54;;1,48
0,12;1,59;;1,48
0,121;1,6;;1,48
0,122;1,61;;1,52
0,123;1,64;;1,56
0,124;1,66;;1,56
0,125;1,68;;1,6
0,126;1,72;;1,6
0,127;1,72;;1,64
0,128;1,76;;1,64
0,129;1,76;;1,68
